From_Station,From_Country,To_Station,To_Country,Fare_Rate
Heerlen,NL,Haarlem,NL,142
Hilversum,NL,Haarlem,NL,48
Leiden Centraal,NL,Haarlem,NL,29
Leeuwarden,NL,Haarlem,NL,225
Maarn,NL,Haarlem,NL,78
Nijmegen,NL,Haarlem,NL,134
Rheden,NL,Haarlem,NL,125
Rotterdam Centraal,NL,Haarlem,NL,67
Tilburg,NL,Haarlem,NL,128
Utrecht Centraal,NL,Haarlem,NL,58
Vlissingen,NL,Haarlem,NL,200
Zwolle,NL,Haarlem,NL,130
Arnhem Centraal,NL,Heerlen,NL,27
Amersfoort Centraal,NL,Heerlen,NL,78
Breda,NL,Heerlen,NL,132
Bunnik,NL,Heerlen,NL,77
Driebergen-Zeist,NL,Heerlen,NL,73
Diemen,NL,Heerlen,NL,116
Dronten,NL,Heerlen,NL,133
Delft,NL,Heerlen,NL,154
Deventer,NL,Heerlen,NL,70
Ede-Wageningen,NL,Heerlen,NL,44
Ede Centrum,NL,Heerlen,NL,46
Eindhoven Centraal,NL,Heerlen,NL,96
Enschede,NL,Heerlen,NL,107
Groningen,NL,Heerlen,NL,207
Haarlem,NL,Heerlen,NL,142
Hilversum,NL,Heerlen,NL,94
Leiden Centraal,NL,Heerlen,NL,135
Leeuwarden,NL,Heerlen,NL,196
Maarn,NL,Heerlen,NL,65
Nijmegen,NL,Heerlen,NL,46
Rheden,NL,Heerlen,NL,35
Rotterdam Centraal,NL,Heerlen,NL,141
Tilburg,NL,Heerlen,NL,111
Utrecht Centraal,NL,Heerlen,NL,85
Vlissingen,NL,Heerlen,NL,231
Zwolle,NL,Heerlen,NL,101
Arnhem Centraal,NL,Hilversum,NL,67
Amersfoort Centraal,NL,Hilversum,NL,16
Breda,NL,Hilversum,NL,109
Bunnik,NL,Hilversum,NL,26
Driebergen-Zeist,NL,Hilversum,NL,30
Diemen,NL,Hilversum,NL,22
Dronten,NL,Hilversum,NL,80
Delft,NL,Hilversum,NL,87
Deventer,NL,Hilversum,NL,74
Ede-Wageningen,NL,Hilversum,NL,50
Ede Centrum,NL,Hilversum,NL,48
Eindhoven Centraal,NL,Hilversum,NL,98
Enschede,NL,Hilversum,NL,130
Groningen,NL,Hilversum,NL,188
Haarlem,NL,Hilversum,NL,48
Heerlen,NL,Hilversum,NL,94
Leiden Centraal,NL,Hilversum,NL,68
Leeuwarden,NL,Hilversum,NL,177
Maarn,NL,Hilversum,NL,38
Nijmegen,NL,Hilversum,NL,86
Rheden,NL,Hilversum,NL,77
Rotterdam Centraal,NL,Hilversum,NL,74
Tilburg,NL,Hilversum,NL,88
Utrecht Centraal,NL,Hilversum,NL,18
Vlissingen,NL,Hilversum,NL,206
Zwolle,NL,Hilversum,NL,82
Arnhem Centraal,NL,Leiden Centraal,NL,108
Amersfoort Centraal,NL,Leiden Centraal,NL,71
Breda,NL,Leiden Centraal,NL,88
Bunnik,NL,Leiden Centraal,NL,58
Driebergen-Zeist,NL,Leiden Centraal,NL,62
Diemen,NL,Leiden Centraal,NL,51
Dronten,NL,Leiden Centraal,NL,118
Delft,NL,Leiden Centraal,NL,24
Deventer,NL,Leiden Centraal,NL,129
Ede-Wageningen,NL,Leiden Centraal,NL,91
Ede Centrum,NL,Leiden Centraal,NL,93
Eindhoven Centraal,NL,Leiden Centraal,NL,130
Enschede,NL,Leiden Centraal,NL,185
Groningen,NL,Leiden Centraal,NL,243
Haarlem,NL,Leiden Centraal,NL,29
Heerlen,NL,Leiden Centraal,NL,135
Hilversum,NL,Leiden Centraal,NL,68
Leeuwarden,NL,Leiden Centraal,NL,232
Maarn,NL,Leiden Centraal,NL,70
Nijmegen,NL,Leiden Centraal,NL,127
Rheden,NL,Leiden Centraal,NL,118
Rotterdam Centraal,NL,Leiden Centraal,NL,38
Tilburg,NL,Leiden Centraal,NL,109
Utrecht Centraal,NL,Leiden Centraal,NL,50
Vlissingen,NL,Leiden Centraal,NL,171
Zwolle,NL,Leiden Centraal,NL,137
Arnhem Centraal,NL,Leeuwarden,NL,171
Amersfoort Centraal,NL,Leeuwarden,NL,161
Breda,NL,Leeuwarden,NL,273
Bunnik,NL,Leeuwarden,NL,190
Driebergen-Zeist,NL,Leeuwarden,NL,194
Diemen,NL,Leeuwarden,NL,199
Dronten,NL,Leeuwarden,NL,127
Delft,NL,Leeuwarden,NL,251
Deventer,NL,Leeuwarden,NL,126
Ede-Wageningen,NL,Leeuwarden,NL,188
Ede Centrum,NL,Leeuwarden,NL,190
Eindhoven Centraal,NL,Leeuwarden,NL,262
Enschede,NL,Leeuwarden,NL,162
Groningen,NL,Leeuwarden,NL,54
Haarlem,NL,Leeuwarden,NL,225
Heerlen,NL,Leeuwarden,NL,196
Hilversum,NL,Leeuwarden,NL,177
Leiden Centraal,NL,Leeuwarden,NL,232
Maarn,NL,Leeuwarden,NL,202
Nijmegen,NL,Leeuwarden,NL,190
Rheden,NL,Leeuwarden,NL,161
Rotterdam Centraal,NL,Leeuwarden,NL,238
Tilburg,NL,Leeuwarden,NL,252
Utrecht Centraal,NL,Leeuwarden,NL,182
Vlissingen,NL,Leeuwarden,NL,370
Zwolle,NL,Leeuwarden,NL,95
Arnhem Centraal,NL,Maarn,NL,38
Amersfoort Centraal,NL,Maarn,NL,41
Breda,NL,Maarn,NL,109
Bunnik,NL,Maarn,NL,12
Driebergen-Zeist,NL,Maarn,NL,8
Diemen,NL,Maarn,NL,58
Dronten,NL,Maarn,NL,118
Delft,NL,Maarn,NL,89
Deventer,NL,Maarn,NL,83
Ede-Wageningen,NL,Maarn,NL,21
Ede Centrum,NL,Maarn,NL,23
Eindhoven Centraal,NL,Maarn,NL,98
Enschede,NL,Maarn,NL,120
Groningen,NL,Maarn,NL,213
Haarlem,NL,Maarn,NL,78
Heerlen,NL,Maarn,NL,65
Hilversum,NL,Maarn,NL,38
Leiden Centraal,NL,Maarn,NL,70
Leeuwarden,NL,Maarn,NL,202
Nijmegen,NL,Maarn,NL,57
Rheden,NL,Maarn,NL,48
Rotterdam Centraal,NL,Maarn,NL,76
Tilburg,NL,Maarn,NL,88
Utrecht Centraal,NL,Maarn,NL,20
Vlissingen,NL,Maarn,NL,206
Zwolle,NL,Maarn,NL,107
Arnhem Centraal,NL,Maastricht,NL,53
Amersfoort Centraal,NL,Maastricht,NL,104
Breda,NL,Maastricht,NL,156
Bunnik,NL,Maastricht,NL,103
Driebergen-Zeist,NL,Maastricht,NL,99
Diemen,NL,Maastricht,NL,142
Dronten,NL,Maastricht,NL,159
Delft,NL,Maastricht,NL,180
Deventer,NL,Maastricht,NL,96
Ede-Wageningen,NL,Maastricht,NL,70
